Instances,feature_Max_Normalized_Entropy_attributes,feature_Normalized_Entropy_Class_Attribute,feature_Mean_Mutual_Information_Attribute_Class,feature_ErrorRate_Decision_Node,feature_WeightedDist_StdDev,feature_Max_Feature_Efficiency_F3,feature_Collective_Feature_Efficiency_F4,feature_Training_Error_Linear_Classifier_L2,feature_Fraction_Points_Class_Boundary_N1,feature_Nonlinearity_Nearest_Neighbor_Classifier_N4,algo_NB,algo_LDA,algo_QDA,algo_CART,algo_J48,algo_KNN,algo_L_SVM,algo_poly_SVM,algo_RBF_SVM,algo_RandF
breast_cancer_wis_dia,0.304301119,0.098349383,0.346090608,0.091552795,3.618309906,0.118741058,0.231759652,0.034334764,0.060085837,0.040772557,0.04010352,0.041511387,0.05010352,0.057246377,0.050041408,0.032919255,0.032939959,0.042960663,0.030082816,0.032919255
breast_cancer_wis_dia_no_Nas,0.305765065,0.099195866,0.352238469,0.095140665,3.618309906,0.121522695,0.243045375,0.032210834,0.060029283,0.026354313,0.038192668,0.039514066,0.049914749,0.052749361,0.048358909,0.036615516,0.036615516,0.04673913,0.032310315,0.027877238
breast_cancer_wis_ori,0.327781401,0.104087137,0.21231182,0.077380952,1.612283719,0.516695976,0.998242557,0.04920914,0.072056241,0.013181031,0.066729323,0.045676692,0.040350877,0.082550125,0.079041353,0.038659148,0.031610276,0.096585213,0.024561404,0.036873434
breast_cancer_wis_pro2,0.3896176,0.103632009,0.01672294,0.237894737,0.785333566,0.176767677,1,0.237373739,0.439393938,0.234848499,0.327631579,0.290536948,0.361775651,0.277631579,0.272631579,0.271842105,0.181315789,0.227105263,0.231578947,0.201052632
breast_tissue,0.297077737,0.381188784,0.555898481,0.215060034,0.8658653,0.694968551,0.966981143,0.160377358,0.163522013,0.153301885,0.106037736,0.107315609,0.102744425,0.094708405,0.111620926,0.111989708,0.100557461,0.197161235,0.145814751,0.100969125
breast_tissue_merged,0.297077737,0.272575261,0.500396153,0.152641509,0.8658653,0.825471699,1,0.186320756,0.110849056,0.053066045,0.030308748,0.025120069,0.039005146,0.040686106,0.030600343,0.025686106,0.020343053,0.053842196,0.024210978,0.028584906
bupa,0.332748392,0.116433681,0.021153787,0.376806723,1.506678176,0.031884059,0.107246384,0.420289844,0.573913038,0.337681174,0.443361345,0.312605042,0.394369748,0.296218487,0.319411765,0.385294118,0.312941176,0.408907563,0.309831933,0.284285714
car,0.185961964,0.112110979,0.079306908,0.262286522,0.827555807,0.458333343,0.611111119,0.149884257,0.149884261,0.211733222,0.094928715,0.062963739,0.457295021,0.035255077,0.048591597,0.082965185,0.045376843,0.262320584,0.043281901,0.015497966
cardio10,0.324291648,0.263558524,0.285396424,0.183941441,2.388317025,0.456961435,0.734524938,0.09129821,0.080526811,0.160983068,0.108830644,0.83937568,0.83937568,0.068408908,0.049464831,0.066999936,0.051781741,0.082981857,0.05349674,0.036792497
cardio3,0.324291648,0.088132015,0.082489787,0.164291934,2.388317025,0.254468471,0.415647507,0.103167135,0.102696771,0.191596111,0.120346046,0.36790679,0.36790679,0.068912862,0.059964185,0.069115962,0.07765886,0.078391623,0.069398497,0.043141368
chess-krkp,0.085522055,0.085773158,0.013274923,0.464639498,1.791962799,0.18272841,0.433041304,0.061639551,0.274718404,0.128754675,0.122652821,0.104202985,0.499012282,0.031916144,0.006886755,0.082610697,0.037857563,0.180846395,0.061325431,0.014390674
chronic_kidney_disease,0.32458681,0.110417617,0.20065579,0.2575,2.484215115,0.654999971,0.964999974,0.022500001,0.015,0,0.035,0.0275,0.46875,0.0175,0.005,0.0125,0.005,0.0075,0.005,0
chronic_kidney_disease_full,0.32458681,0.110417617,0.20065579,0.285,2.484215115,0.654999971,0.964999974,0.022500001,0.015,0,0.035,0.0225,0.46875,0.015,0.005,0.01,0.005,0.005,0.0025,0
cilinder,0.575283382,0.108239952,0.044414008,0.362962963,0.621246965,0.124074072,0.350000054,0.303703696,0.437037051,0.19907409,0.266666667,0.470987654,0.487901235,0.27037037,0.242592593,0.177777778,0.222222222,0.424074074,0.253703704,0.487901235
cilinder_no_NAs,0.591478922,0.115914999,0.02170746,0.350661376,0.621246965,0.057761732,0.411552399,0.357400715,0.465703964,0.193140805,0.443518519,0.459257349,0.459257349,0.303042328,0.363624339,0.223677249,0.273941799,0.357142857,0.313756614,0.459257349
climate,0.330477911,0.046292781,0.01289969,0.085185185,0.484272269,0.205555558,0.5907408,0.085185185,0.172222227,0.097222209,0.05,0.05,0.07962963,0.087037037,0.087037037,0.077777778,0.042592593,0.083333333,0.077777778,0.07962963
cnae9,0.119725971,0.314576065,0.011368802,0.190123457,2.408243451,0.123662548,0.996604833,0.044341564,0.050823045,0.037499997,0.009465021,0.888888889,0.888888889,0.059259259,0.02962963,0.030658436,0.01563786,0.207613169,0.203292181,0.016460905
congressional,0.114087888,0.10979146,0.190517163,0.117124736,1.368194617,0,0,0.034482758,0.114942528,0.021839082,0.080285412,0.036575053,0.055073996,0.041226216,0.034302326,0.05512685,0.045930233,0.050369979,0.038900634,0.029756871
congressional_no_Nas,0.127197747,0.126822192,0.184559763,0.150905797,1.368194617,0,0,0.030172413,0.155172408,0.017241359,0.082427536,0.030434783,0.083551974,0.030434783,0.043478261,0.095289855,0.030434783,0.060688406,0.034782609,0.034782609
connectionist_vowel,0.39260163,0.347636684,0.232476561,0.176859504,0.845632488,0.469880619,0.791092737,0.090909094,0.042148761,0.215243334,0.070707071,0.062442608,0.909090909,0.079889807,0.035078053,0.001652893,0.017447199,0.104132231,0.015794307,0.003856749
contraceptive,0.326569313,0.146232931,0.0255156,0.421449603,2.458576208,0.023082146,0.023761033,0.309798598,0.544240773,0.40133514,0.342500462,0.336173605,0.353638216,0.29876463,0.327764541,0.369638047,0.344937807,0.353055857,0.306789596,0.31238749
credit_no_Nas,0.375157287,0.106266981,0.067577352,0.373589744,1.027384605,0.033690657,0.065849923,0.136294022,0.271056652,0.150076568,0.225151515,0.133286713,0.495649343,0.15013986,0.153240093,0.154685315,0.136363636,0.381468531,0.136363636,0.13034965
diabetic,0.326681032,0.098071159,0.021258244,0.409190405,2.131902181,0.049522154,0.106863596,0.397046059,0.549087763,0.386620343,0.398785607,0.286694153,0.498097183,0.36661919,0.378755622,0.384002999,0.277143928,0.354430285,0.298845577,0.498097183
echocardio,0.322004676,0.146393266,0.157888956,0.064285714,0.569299479,0.972972989,1,0.054054055,0.175675675,0.033783793,0.026785714,0.080357143,0.439140927,0.0375,0.025,0.1,0.014285714,0.085714286,0.080357143,0.439140927
